PDB	pKd
3m6p	8.347
5f61	7.456
5fbi	2.796
5x62	6.421
4jym	5.043
5ct2	2.921
5lpm	5.558
3sbi	7.921
3ck7	4.051
4qev	7.658
5n1z	8.187
2yga	4.611
4qpl	7.409
4y5d	5.921
3hlo	6.215
4f3i	7.442
4fcr	9.398
5czm	8.319
4xxh	5.0
3b27	5.161
5ulp	4.614
5u13	5.409
4iax	9.564
4q09	8.174
3ao1	2.26
4tkh	5.735
4pio	5.699
5mxf	3.585
4wn5	7.409
3r8i	5.347
4cjq	3.592
3fw4	9.398
5uff	4.243
4aji	3.553
5cu2	4.237
5gj9	4.991
3iob	3.42
5fnd	3.495
5aqr	3.0
3bjm	8.301
3ryy	7.42
5khg	4.694
3art	4.432
3juo	5.068
5ggk	3.538
4cki	5.959
4qjx	7.284
5f2p	4.426
5nai	6.097
5f60	7.367
4bks	3.824
4abd	4.398
4b5w	3.328
4m5i	5.174
3oj8	8.357
3ijh	4.0
5etv	6.244
3cz1	7.26
5h1v	4.0
5cks	5.509
4j4v	6.357
5l4j	4.284
3n8k	4.046
4luz	4.699
5dkr	5.222
4ocq	4.607
4ijh	4.328
3fsj	3.947
5hgc	8.658
2reg	5.638
5h8g	10.317
5d7x	4.824
3jvs	6.538
5g45	3.301
3ivg	4.301
4ce3	3.959
5aiv	6.187
4pyy	7.229
5f1h	7.851
5aol	2.319
3eeb	5.886
4xu1	9.489
5c5t	3.127
5tcy	7.658
4h81	5.125
4ajk	3.114
4ewn	6.699
4mrh	1.9
5f74	5.119
3cyu	7.222
3f35	3.161
4ww8	10.174
4xx9	5.076
4fht	6.174
3lm1	4.699
3jup	5.58
5l4i	6.585
5cqt	6.907
4zij	3.248
3wzq	6.229
4u0s	6.801
4ydn	8.638
3ip9	5.62
4ajl	3.796
3ljj	6.523
5i7x	7.276
2qv7	3.66
4yw7	6.886
5t7s	4.102
2xjj	6.509
3bho	5.613
2uyw	13.0
2wjg	7.097
3rz0	7.553
4mue	6.699
3nx7	8.103
5aqt	3.509
5nbw	8.585
5d25	6.301
4tqn	6.114
5u0d	4.544
4auy	7.738
4k7i	2.824
5e5g	3.155
3s78	6.469
3ccw	7.87
3kr8	8.097
4wmc	8.046
3hu3	6.886
3ekw	7.963
5l4f	5.886
3n9s	5.26
5ekj	6.0
4og4	6.021
5f62	8.167
4z93	7.351
4j93	4.699
3lpl	5.622
5cxi	6.553
4k6i	6.201
4w54	4.167
2x00	11.328
4emf	7.076
3kqy	4.824
5hwv	5.071
5twj	5.253
2y7p	5.469
4aj4	3.886
2zdl	6.396
3ew2	6.668
3arr	5.398
4rrg	2.813
3f18	7.403
3muf	6.495
3c4h	5.699
5csh	3.569
5cy9	6.662
2weo	6.928
3re4	7.398
4agm	3.979
4ef4	5.355
5vsb	5.118
3u15	7.108
3oka	4.721
4lw1	3.149
3rdo	9.854
5g61	6.398
4cc5	4.42
4abg	3.567
4mrg	2.959
4fvr	6.0
5jvi	6.509
5ekm	6.319
5d26	6.092
4lov	7.767
5exw	6.824
4lar	4.684
4cg8	6.959
2y34	7.097
5m34	6.824
3ms9	5.222
3gpo	5.301
4qsx	1.745
5dlx	5.699
5cso	6.027
4k9y	6.955
4u5u	2.886
3ilq	5.208
4rgd	3.943
2wf5	6.0
4uac	6.541
3gp0	7.444
2rcn	6.0
5jsj	5.398
4zme	4.301
5ovx	4.503
4bi7	4.578
4jkw	4.156
4n6g	5.469
4l4v	5.783
5o2d	5.678
5os0	2.554
4nkt	5.967
3rm4	5.772
2vk2	6.886
4ayr	7.004
3p2e	6.222
3uo4	6.524
5fnc	4.114
4kzq	6.103
5etx	6.812
4cig	3.67
3efs	5.337
4gu6	7.357
3ioe	3.268
5u4g	6.102
4duh	5.18
5n9s	8.62
4k3h	6.854
4poh	8.0
5cbr	5.745
2rio	4.69
3coz	5.569
4kn1	6.842
4mre	2.194
5eqe	3.879
2vcb	5.26
4cj4	3.365
3ies	9.921
3upk	4.301
5etl	4.638
2w47	4.979
5gmh	6.31
5fng	2.957
4bqg	6.222
6eux	5.921
3lk0	3.157
2qfo	4.699
4ck3	3.572
4muv	5.762
3gk2	2.699
4xoc	8.523
3ebl	6.301
4jv6	6.664
3pd3	4.441
5tzf	5.796
5km2	4.408
4br3	5.721
5u28	7.174
4nj3	6.523
4yx4	5.969
2zdk	6.369
4hbm	7.921
4f9y	6.735
3b24	4.377
5fog	3.672
5fe7	3.312
3cj2	4.854
3k8d	5.77
4x8t	2.051
5f9b	4.261
2vwc	6.62
5g1n	7.77
4y3j	2.167
3ryj	7.796
3wto	6.924
4l4z	5.678
4wmy	7.071
5en3	6.208
3m96	7.222
4loh	6.959
4oew	6.818
5g4o	4.432
2xi7	5.143
4qjr	7.097
4rvr	6.866
4nyf	7.31
4pvy	6.706
4aqh	6.538
2v58	9.086
4kp5	6.079
5n0f	6.046
4gah	6.097
3exe	6.959
3k54	9.0
5n2t	5.076
5ko1	6.638
2zyn	5.921
5efa	4.833
2r75	6.146
5epn	8.658
4g5f	3.046
4ai5	2.921
2xv1	5.987
3jzj	3.606
5u4d	6.328
4q6e	6.176
4m14	6.699
3sk2	3.613
4up5	2.602
4m5l	4.724
3cd5	7.896
6ezq	4.658
3zll	6.403
4y59	5.237
5ihh	6.409
5d21	8.377
3b2t	5.207
2wnj	6.481
4p3h	6.0
3huc	5.987
4rfr	6.538
4ffs	10.444
4av5	7.215
4mg8	6.481
3kpw	4.854
4ej8	5.387
5vd3	5.55
4k4j	6.124
3if7	7.215
5nw1	6.602
4qjw	7.796
3tdh	4.26
3ctr	5.159
3c84	7.854
5ia1	6.276
5ofi	4.203
3kqp	3.42
2q89	6.301
3ijg	4.268
4k7n	3.481
3m94	5.076
5dqf	3.597
5khj	3.736
3buh	3.658
5eis	5.745
4jfl	4.979
3s74	8.398
3bu1	8.149
5ofv	1.582
4ede	7.377
5klz	6.374
5c3p	4.463
3ad8	3.161
4xu3	9.502
4unp	3.229
4tjz	5.971
3k1j	6.398
4erf	9.398
4zb8	6.027
3rz7	8.959
5l9i	7.004
3lq4	5.224
5i3v	7.796
5fe9	4.678
5mka	4.31
4lbu	6.559
4ndu	2.745
5edl	8.347
4txc	6.62
2zhd	6.542
4g8m	7.893
3zk6	6.337
5klp	4.644
4zzx	6.903
3gy4	5.097
4i7m	4.143
4ymh	6.456
5org	8.398
5ory	3.447
4hj2	2.53
5nfb	6.114
4azg	7.102
4v04	8.114
3o4k	7.62
3sap	7.585
5nn6	5.523
3dp9	9.682
4m8h	7.602
2rfy	5.222
3qbc	4.967
4ht0	8.0
4x8o	6.602
3zcw	6.187
4jv8	5.848
4bb9	6.0
5txy	5.456
4agp	4.686
4mg6	5.616
4etz	6.301
4j74	4.585
3bxg	4.959
4kp8	5.478
5mpz	4.071
3tb6	5.076
5etk	5.824
5js3	6.733
4cg9	6.208
5jq5	5.631
4abh	4.149
5g1a	6.569
4i9o	5.721
5k9w	4.585
5mtx	7.752
3zlr	9.26
4crj	5.959
4b34	3.137
4ceb	2.967
4rrr	4.441
4k7o	4.301
4jx9	8.62
5tpx	6.553
4r4i	6.268
4fl3	3.824
6ayi	6.678
4lzs	4.796
5i8g	7.523
4ce1	4.379
3p3r	7.251
3pma	5.398
3kyf	6.783
2zym	6.137
3wb4	4.437
5mge	4.06
5ia3	7.337
4auj	7.738
2zq2	6.559
4hmq	8.237
3t2c	4.602
5h5o	6.562
5g46	2.602
3isj	3.678
5fso	6.092
4xk9	9.066
5ftg	6.155
4epy	3.469
4usw	2.693
5l3a	4.886
5vfj	4.699
5k8s	8.222
4iue	6.553
5i9y	8.553
5fpp	4.0
3fsm	7.0
5ets	5.907
4fnn	7.565
3f36	2.886
5vd0	6.489
3f78	3.097
3d0b	6.538
4aje	3.678
5moo	1.314
4c52	5.678
5lud	3.606
5kva	5.135
5aqu	2.983
4xty	9.212
3hau	6.377
2vpo	5.42
4y8d	8.051
5e2m	7.229
4ozl	4.975
5ngz	2.886
4phu	7.919
4qp2	3.027
3n7s	7.699
5eqq	8.174
5dw2	5.842
5ey0	2.646
4zfi	6.301
3feg	4.347
3ads	5.012
5f2r	4.284
4mr4	5.942
3cj5	6.337
5g5f	5.284
2vw5	8.523
5h1u	3.509
4ksy	8.421
4al4	6.886
4rwj	8.699
2zq1	6.622
4zzy	5.602
4ryl	7.276
4ocp	6.097
5fas	7.469
3vje	8.013
5fnf	3.155
5mrb	6.327
4gue	5.237
5dnu	4.11
5fwr	7.752
3m89	6.161
3el0	7.467
4azc	5.86
3iaw	5.804
4ef6	2.921
3ljo	6.622
3zt4	2.804
4x11	2.222
4b35	2.886
4km0	6.041
6b7b	2.893
2wn9	8.523
4lop	8.155
5n3v	4.344
3t0w	7.301
5wqk	6.301
4l9i	4.886
4ayu	4.73
3uew	6.31
5aoj	4.678
4dru	8.62
4ibf	4.434
3d2r	5.481
4jck	2.367
4fl2	3.658
5eou	5.36
5hki	2.796
4mgc	6.319
5ml2	7.886
5v2l	3.541
4oks	4.481
3s0d	7.046
5t18	9.301
5wuk	7.854
3zln	8.469
5nkg	7.678
4ua8	6.26
5nkc	7.721
5oku	6.26
5h8e	11.199
4arb	5.886
5n2x	6.06
5tbm	7.31
2yim	3.921
5syn	6.62
4xo8	8.959
4xrq	6.635
3kyg	7.465
4kox	4.772
4crl	9.71
4b5s	3.495
5cs5	1.575
5ota	5.745
3lbz	3.86
4avi	7.627
3kqo	3.854
3gus	6.046
5n21	5.959
3rz8	8.174
4csd	5.91
5tw5	7.419
3ncq	5.357
5ow1	4.152
3k5i	4.699
3f16	8.228
5ldm	3.857
5m04	6.337
4u7o	3.347
4f0c	6.268
3rsx	4.411
3i73	5.491
3kdm	7.0
4euv	6.301
5chk	5.385
3ccz	7.287
5wbm	4.699
3ta1	3.246
3qxh	5.237
5ar0	6.143
4qjp	8.602
5ll4	8.398
4qdk	5.854
5i7y	7.284
5kau	6.523
5khh	4.307
4d3h	6.432
3hrf	4.987
4qgd	7.432
2xdx	6.456
4kax	4.77
3hx3	8.0
3b2q	4.553
5aqf	3.783
3gkz	8.0
4n7j	5.469
5fsn	5.77
4lzr	4.699
4ipi	5.319
4nbk	3.866
5os2	2.74
4ahr	2.187
5d6j	4.444
2r1w	4.602
3f1a	7.214
3q6z	3.717
4w9j	6.231
5ia0	6.728
4ucc	4.319
4gqp	9.602
5etq	6.481
4ql1	7.032
4zed	5.125
5x9o	5.301
3oob	4.666
4ear	9.821
4or4	4.572
5ii1	5.481
5tw2	7.304
3b4p	5.398
5ka9	4.409
4agn	3.971
5m28	4.319
3fh7	7.602
5tef	5.398
2vxn	5.0
4zek	5.658
4mgd	4.695
5u48	6.328
5mob	4.046
4q0k	4.873
5oei	5.796
5afv	5.585
4zzd	6.602
5vc3	7.111
4cwb	6.092
5gic	6.48
5j0d	6.873
4g8r	7.658
5os1	3.306
3nee	5.337
3hbo	5.086
5usz	6.975
5ot9	4.074
5khk	6.387
5otc	4.714
5a14	7.301
4qxq	5.701
3r24	5.253
5mnb	2.481
2pqc	5.745
4l50	6.056
2vmd	3.022
3ryz	8.62
4pfu	6.174
5lsg	5.398
4agl	3.648
3iuc	5.664
5aoi	3.027
3nq9	4.033
5lws	3.939
5aix	7.921
5kew	6.501
3g0e	7.699
5vse	5.971
5lz5	6.347
5ekh	5.955
4oex	5.839
3qxc	5.77
5u4a	6.357
5fni	3.481
4j3l	7.796
2vfk	3.712
3iod	4.097
4axd	4.432
5j3l	4.796
5nk8	6.64
3hv7	7.921
4ibg	3.967
4hiq	8.208
5flo	3.149
3hkw	8.638
2pym	6.824
3q7q	5.647
5fck	8.222
5fnt	6.174
3hky	7.097
5mod	3.523
5igl	7.37
3s72	6.398
2qbu	6.19
5mi7	7.114
5ufr	8.699
4kn0	7.398
3h1x	5.886
3s76	5.046
4dve	9.523
5etm	5.409
4zt8	4.387
5vcz	6.353
3lle	4.971
5ose	3.167
5u0z	6.187
4pum	6.726
5c85	3.979
5ml6	9.446
4ogi	7.432
4j21	7.409
2qry	8.638
3ldp	5.618
4j7d	4.699
4c73	4.917
4qac	9.398
4ysl	5.796
4f7v	5.381
4egk	7.721
4kxl	6.222
5lz4	5.699
4m5n	5.125
3iub	4.538
3vhd	9.284
3ivc	4.125
2ymd	3.159
5u4f	6.328
4a4v	6.542
2wik	3.18
5f41	4.174
4y94	6.623
4q3t	6.481
2vzr	4.279
3gk1	4.097
4uoh	4.77
3a1t	4.83
2yay	6.097
3mo2	6.613
4fe9	3.004
4kfq	8.232
4nxv	5.42
3t0x	8.0
4ibe	4.151
2xj1	7.553
3njq	4.886
4ejl	5.143
3zy5	6.638
4gwk	3.337
6ayh	5.569
3r5n	5.777
5w1e	5.237
4und	8.959
3bex	5.569
3brn	8.699
2zwz	7.788
5kly	7.215
3qyy	5.083
5nfa	5.252
4nja	6.222
3a1s	4.83
5gof	4.045
5a4c	8.244
4ocv	5.081
4rlu	4.818
3nkk	4.699
4ymq	5.796
3mxf	7.31
5c4l	5.638
2wl4	4.194
4pvx	6.764
4aq4	6.167
3ry8	3.337
3v3q	6.602
5d1r	4.842
3fat	7.642
3axz	3.429
4rwl	8.097
4cgj	2.836
4irx	6.119
4i7j	3.319
3wzn	7.0
4efk	2.495
5nvv	6.699
3mhi	6.699
5dx4	6.863
2rcb	6.788
4lps	5.745
4rrq	5.469
4des	5.854
